series,timestamp,value,label
pressure,2023-09-20T16:17:50.000Z,710.15902,
pressure,2023-09-20T16:37:50.000Z,710.26085,
pressure,2023-09-20T16:57:50.000Z,710.39423,
pressure,2023-09-20T17:17:50.000Z,710.92189,
pressure,2023-09-20T17:37:50.000Z,710.90076,
pressure,2023-09-20T17:57:50.000Z,710.64021,
pressure,2023-09-20T18:17:50.000Z,710.55711,
pressure,2023-09-20T18:37:50.000Z,710.218,
pressure,2023-09-20T18:57:50.000Z,709.44188,
pressure,2023-09-20T19:17:50.000Z,709.39628,
pressure,2023-09-20T19:37:50.000Z,709.23042,
pressure,2023-09-20T19:57:50.000Z,709.61269,
pressure,2023-09-20T20:17:50.000Z,709.80623,
pressure,2023-09-20T20:37:50.000Z,709.75494,
pressure,2023-09-20T20:57:50.000Z,709.45615,
pressure,2023-09-20T21:17:50.000Z,709.31872,
pressure,2023-09-20T21:37:50.000Z,709.34443,
pressure,2023-09-20T21:57:50.000Z,708.67323,
pressure,2023-09-20T22:17:50.000Z,708.76223,
pressure,2023-09-20T22:37:50.000Z,708.48336,
pressure,2023-09-20T22:57:50.000Z,708.24212,
pressure,2023-09-20T23:17:50.000Z,707.87,
pressure,2023-09-20T23:37:50.000Z,707.7577,
pressure,2023-09-20T23:57:50.000Z,708.07464,
pressure,2023-09-21T00:17:50.000Z,708.04847,
pressure,2023-09-21T00:37:50.000Z,708.07796,
pressure,2023-09-21T00:57:50.000Z,707.87527,
pressure,2023-09-21T01:17:50.000Z,708.04942,
pressure,2023-09-21T01:37:50.000Z,708.02325,
pressure,2023-09-21T01:57:50.000Z,707.97615,
pressure,2023-09-21T02:17:50.000Z,708.54741,
pressure,2023-09-21T02:37:50.000Z,708.3966,
pressure,2023-09-21T02:57:50.000Z,708.43174,
pressure,2023-09-21T03:17:50.000Z,708.47072,
pressure,2023-09-21T03:37:50.000Z,708.47667,
pressure,2023-09-21T03:57:50.000Z,708.4934,
pressure,2023-09-21T04:17:50.000Z,708.38545,
pressure,2023-09-21T04:37:50.000Z,708.40603,
pressure,2023-09-21T04:57:50.000Z,708.47585,
pressure,2023-09-21T05:17:50.000Z,708.47156,
pressure,2023-09-21T05:37:50.000Z,708.42443,
pressure,2023-09-21T05:57:50.000Z,708.35669,
pressure,2023-09-21T06:17:50.000Z,708.36403,
pressure,2023-09-21T06:37:50.000Z,708.32034,
pressure,2023-09-21T06:57:50.000Z,708.28178,
pressure,2023-09-21T07:17:50.000Z,708.13956,
pressure,2023-09-21T07:37:50.000Z,708.10014,
pressure,2023-09-21T07:57:50.000Z,707.96132,
pressure,2023-09-21T08:17:50.000Z,707.86146,
pressure,2023-09-21T08:37:50.000Z,707.86574,
pressure,2023-09-21T08:57:50.000Z,707.77626,
pressure,2023-09-21T09:17:50.000Z,707.60603,
pressure,2023-09-21T09:37:50.000Z,707.45427,
pressure,2023-09-21T09:57:50.000Z,707.31105,
pressure,2023-09-21T10:17:50.000Z,707.25063,
pressure,2023-09-21T10:37:50.000Z,707.16402,
pressure,2023-09-21T10:57:50.000Z,707.05602,
pressure,2023-09-21T11:17:50.000Z,707.03941,
pressure,2023-09-21T11:37:50.000Z,707.12601,
pressure,2023-09-21T11:57:50.000Z,707.04141,
pressure,2023-09-21T12:17:50.000Z,707.02758,
pressure,2023-09-21T12:37:50.000Z,706.87955,
pressure,2023-09-21T12:57:50.000Z,706.93894,
pressure,2023-09-21T13:17:50.000Z,706.01012,
pressure,2023-09-21T13:37:50.000Z,706.04318,
pressure,2023-09-21T13:57:50.000Z,706.55284,
pressure,2023-09-21T14:17:50.000Z,706.55767,
pressure,2023-09-21T14:37:50.000Z,706.24043,
pressure,2023-09-21T14:57:50.000Z,706.78173,
pressure,2023-09-21T15:17:50.000Z,705.7118,
pressure,2023-09-21T15:37:50.000Z,704.72884,
pressure,2023-09-21T15:57:50.000Z,704.85045,
pressure,2023-09-21T16:17:50.000Z,705.59931,
pressure,2023-09-21T16:37:50.000Z,706.4738,
pressure,2023-09-21T16:57:50.000Z,707.04663,
pressure,2023-09-21T17:17:50.000Z,706.92661,
pressure,2023-09-21T17:37:50.000Z,707.36252,
pressure,2023-09-21T17:57:50.000Z,707.84151,
pressure,2023-09-21T18:17:50.000Z,707.39135,
pressure,2023-09-21T18:37:50.000Z,707.05977,
pressure,2023-09-21T18:57:50.000Z,706.80112,
pressure,2023-09-21T19:17:50.000Z,706.70555,
pressure,2023-09-21T19:37:50.000Z,706.82558,
pressure,2023-09-21T19:57:50.000Z,706.68809,
pressure,2023-09-21T20:17:50.000Z,706.52755,
pressure,2023-09-21T20:37:50.000Z,706.63198,
pressure,2023-09-21T20:57:50.000Z,706.58373,
pressure,2023-09-21T21:17:50.000Z,706.65206,
pressure,2023-09-21T21:37:50.000Z,706.8726,
pressure,2023-09-21T21:57:50.000Z,706.73019,
pressure,2023-09-21T22:17:50.000Z,706.7704,
pressure,2023-09-21T22:37:50.000Z,706.6287,
pressure,2023-09-21T22:57:50.000Z,706.64467,
pressure,2023-09-21T23:17:50.000Z,706.60044,
pressure,2023-09-21T23:37:50.000Z,706.83624,
pressure,2023-09-21T23:57:50.000Z,706.863,
pressure,2023-09-22T00:17:50.000Z,706.80202,
pressure,2023-09-22T00:37:50.000Z,707.04002,
pressure,2023-09-22T00:57:50.000Z,707.10527,
pressure,2023-09-22T01:17:50.000Z,707.34478,
pressure,2023-09-22T01:37:50.000Z,707.50564,
pressure,2023-09-22T01:57:50.000Z,707.60459,
pressure,2023-09-22T02:17:50.000Z,705.79521,
pressure,2023-09-22T02:37:50.000Z,705.93029,
pressure,2023-09-22T02:57:50.000Z,706.15549,
pressure,2023-09-22T03:17:50.000Z,706.43363,
pressure,2023-09-22T03:37:50.000Z,706.57587,
pressure,2023-09-22T03:57:50.000Z,706.7181,
pressure,2023-09-22T04:17:50.000Z,706.73732,
pressure,2023-09-22T04:37:50.000Z,706.91053,
pressure,2023-09-22T04:57:50.000Z,706.94801,
pressure,2023-09-22T05:17:50.000Z,706.97573,
pressure,2023-09-22T05:37:50.000Z,707.00364,
pressure,2023-09-22T05:57:50.000Z,707.04267,
pressure,2023-09-22T06:17:50.000Z,707.08974,
pressure,2023-09-22T06:37:50.000Z,707.09402,
